"","voted","sex","age","unit","weight","race","educ"
"354",1,0,"(39,49]",0,3799.2924,2,0
"355",1,0,"(49,59]",0,4155.5327,2,2
"356",1,1,"(49,59]",0,4138.7651,2,2
"357",1,1,"(0,29]",0,9498.5985,2,1
"358",1,0,"(59,69]",0,3190.2221,1,2
"359",1,1,"(59,69]",0,3214.5627,1,2
"360",1,1,"(69,79]",0,3022.4417,1,1
"361",1,0,"(79,100]",0,3074.3161,1,2
"362",1,1,"(0,29]",0,3314.583,1,2
"363",1,1,"(59,69]",0,3021.8462,1,0
"364",1,0,"(59,69]",0,3173.6941,1,0
"365",1,1,"(29,39]",0,4721.8363,2,2
"366",1,0,"(39,49]",0,3116.9115,1,2
"367",1,1,"(39,49]",0,2863.2994,1,1
"368",NA,1,"(59,69]",0,2924.6237,1,NA
"369",NA,0,NA,0,2916.2705,1,NA
"370",NA,0,NA,0,3173.6941,NA,NA
"371",NA,1,NA,0,3075.7922,1,2
"372",1,1,"(69,79]",0,3303.9415,1,2
"373",1,1,"(59,69]",0,3676.3673,1,2
"374",1,0,"(69,79]",0,3324.7309,2,0
"375",1,1,"(59,69]",0,3019.3067,2,0
"376",0,0,"(79,100]",0,3575.7975,2,1
"377",NA,0,"(39,49]",0,3768.5451,2,1
"378",1,0,"(39,49]",0,3701.2179,1,1
"379",1,1,"(39,49]",0,2998.0168,1,2
"380",1,1,"(69,79]",0,3190.3372,3,1
"381",1,0,"(79,100]",0,3004.6726,1,2
"382",1,1,"(59,69]",0,3713.26,2,0
"383",0,0,"(0,29]",0,3253.3172,1,1
"384",0,0,"(0,29]",0,3274.781,4,1
"385",1,1,"(49,59]",0,3104.3776,1,2
"386",NA,0,"(39,49]",0,3856.953,2,1
"387",NA,0,"(0,29]",0,4372.5334,2,1
"388",NA,1,"(0,29]",0,4640.1159,2,1
"389",1,1,"(59,69]",0,3817.0281,2,1
"390",1,0,"(59,69]",0,3832.4923,2,0
"391",NA,1,NA,0,4553.469,2,2
"392",1,1,"(59,69]",0,3276.5574,1,2
"393",1,1,"(69,79]",0,3335.0505,1,2
"394",0,1,"(0,29]",0,3634.196,1,0
"395",0,1,"(0,29]",0,3634.196,1,0
"396",0,1,"(0,29]",0,5072.2803,2,1
"397",1,1,"(49,59]",0,3261.3655,1,0
"398",1,0,"(49,59]",0,3680.2807,1,0
"399",1,0,"(29,39]",0,3605.6199,1,0
"400",NA,1,"(0,29]",0,3468.3115,1,2
"401",1,1,"(59,69]",0,2978.2872,1,0
"402",1,0,"(59,69]",0,3199.588,1,2
"403",NA,0,"(59,69]",0,3885.6905,2,0
"404",NA,1,"(59,69]",0,4137.6859,2,0
"405",1,1,"(39,49]",0,4159.7519,2,1
"406",0,0,"(49,59]",0,3894.2479,2,2
"407",NA,0,"(29,39]",0,2669.9193,1,2
"408",NA,1,"(29,39]",0,2986.9156,1,1
"409",1,0,"(59,69]",0,3800.2013,2,1
"410",1,1,"(59,69]",0,3424.6007,2,0
"411",0,1,"(0,29]",0,3055.5161,3,1
"412",0,0,"(0,29]",0,5415.437,2,1
"413",1,1,"(29,39]",0,4134.993,1,2
"414",1,0,"(29,39]",0,4517.7647,1,2
"415",1,0,"(39,49]",0,4325.277,1,2
"416",0,1,"(0,29]",0,3468.3115,1,0
"417",0,0,"(29,39]",0,3883.5132,1,0
"418",1,0,"(0,29]",0,3409.2377,1,1
"419",1,0,"(0,29]",0,3796.124,2,1
"420",1,0,"(0,29]",0,3796.124,2,1
"421",1,0,"(0,29]",0,3409.2377,1,1
"422",1,1,"(59,69]",0,3363.1364,1,2
"423",1,1,"(49,59]",0,3941.4752,2,2
"424",NA,1,"(49,59]",0,3817.0281,2,NA
"425",NA,0,"(69,79]",0,3212.1795,1,2
"426",NA,1,"(69,79]",0,3100.8874,1,2
"427",0,1,"(59,69]",0,2978.2872,1,2
"428",1,1,"(0,29]",0,7140.9919,2,1
"429",1,1,"(0,29]",0,3885.861,1,2
"430",1,0,"(0,29]",0,5330.6208,1,1
"431",0,0,"(79,100]",0,3029.1875,1,0
"432",0,0,"(49,59]",0,3820.2127,1,0
"433",0,1,"(0,29]",0,5345.6452,3,1
"434",0,0,"(49,59]",0,3756.3765,1,0
"435",0,1,"(39,49]",0,3437.711,1,0
"436",1,0,"(49,59]",0,3464.3654,1,2
"437",1,1,"(49,59]",0,3367.8885,1,2
"438",0,0,"(0,29]",0,4916.232,1,1
"439",0,1,"(0,29]",0,3496.6092,1,2
"440",NA,0,"(49,59]",0,3404.1375,3,2
"441",NA,1,"(49,59]",0,3056.0675,3,2
"442",1,1,"(29,39]",0,3063.9529,1,2
"443",1,0,"(29,39]",0,3754.5306,1,2
"444",1,1,"(0,29]",0,3314.583,1,2
"445",1,0,"(0,29]",0,3343.4477,1,2
"446",1,1,"(0,29]",0,3878.4589,1,2
"447",1,1,"(0,29]",0,3878.4589,1,2
"448",1,1,"(59,69]",0,3816.0328,2,1
